month,year,lineName,station,feePassenger,freePassenegr,totalPassenger
201803,2018,2호선,신당,378721,111562,490283
201803,2018,2호선,신대방,773266,139879,913145
201803,2018,2호선,신도림,1709060,221529,1930589
201803,2018,2호선,신림,1985706,256962,2242668
201803,2018,2호선,신설동,106589,42787,149376
201803,2018,2호선,신정네거리,241772,68017,309789
201803,2018,2호선,신촌,1493965,149123,1643088
201803,2018,2호선,아현,275754,67642,343396
201803,2018,2호선,양천구청,175775,47497,223272
201803,2018,2호선,역삼,1287032,158222,1445254
201803,2018,2호선,영등포구청,583438,110842,694280
201803,2018,2호선,왕십리(성동구청),591685,62080,653765
201803,2018,2호선,용답,72242,18121,90363
201803,2018,2호선,용두(동대문구청),51145,24778,75923
201803,2018,2호선,을지로3가,576045,94921,670966
201803,2018,2호선,을지로4가,299877,97514,397391
201803,2018,2호선,을지로입구,1462219,123805,1586024
201803,2018,2호선,이대,642722,71935,714657
201803,2018,2호선,잠실(송파구청),2514484,236514,2750998
201803,2018,2호선,잠실나루,447474,95463,542937
201803,2018,2호선,잠실새내,721478,126809,848287
201803,2018,2호선,종합운동장,379251,56021,435272
201803,2018,2호선,충정로(경기대입구),306366,57243,363609
201803,2018,2호선,한양대,404545,16731,421276
201803,2018,2호선,합정,982177,78093,1060270
201803,2018,2호선,강변(동서울터미널),1327074,150927,1478001
201803,2018,경인선,간석,165568,46855,212423
201803,2018,경인선,개봉,603572,166097,769669
201803,2018,경인선,도원,100984,36655,137639
201803,2018,경인선,도화,92523,39021,131544
201803,2018,3호선,가락시장,249031,77865,326896
201803,2018,3호선,홍제,487041,157276,644317
201803,2018,3호선,경찰병원,199998,42238,242236
201803,2018,3호선,고속터미널,1703305,196614,1899919
201803,2018,3호선,도곡,177537,31425,208962
201803,2018,3호선,독립문,194730,79936,274666
201803,2018,3호선,동대입구,344881,37954,382835
201803,2018,3호선,매봉,290012,59455,349467
201803,2018,3호선,교대(법원.검찰청),394456,77533,471989
201803,2018,3호선,구파발,545590,105917,651507
201803,2018,3호선,금호,220206,59474,279680
201803,2018,3호선,남부터미널(예술의전당),965670,138505,1104175
201803,2018,3호선,녹번,354314,69070,423384
201803,2018,3호선,대청,265962,56064,322026
201803,2018,3호선,대치,339484,66391,405875
201803,2018,3호선,수서,460389,106019,566408
201803,2018,3호선,무악재,95400,32802,128202
201803,2018,3호선,불광,459825,158221,618046
201803,2018,3호선,신사,944793,78515,1023308
201803,2018,3호선,안국,683879,135744,819623
201803,2018,3호선,압구정,915346,159549,1074895
201803,2018,3호선,약수,362343,89886,452229
201803,2018,3호선,양재(서초구청),1130906,181146,1312052
201803,2018,3호선,연신내,1081275,283023,1364298
201803,2018,3호선,오금,193791,30687,224478
201803,2018,3호선,옥수,255442,64497,319939
201803,2018,3호선,을지로3가,255957,63001,318958
201803,2018,3호선,일원,233068,62482,295550
201803,2018,3호선,잠원,159803,38271,198074
201803,2018,3호선,종로3가,233338,61980,295318
201803,2018,3호선,지축,27568,10673,38241
201803,2018,3호선,충무로,55,1,56
201803,2018,3호선,학여울,82050,19106,101156
201803,2018,3호선,경복궁(정부서울청사),724881,100641,825522
201803,2018,4호선,동대문,651580,172198,823778
201803,2018,4호선,회현(남대문시장),761089,234770,995859
201803,2018,4호선,동작(현충원),53586,20687,74273
201803,2018,4호선,길음,661630,133361,794991
201803,2018,4호선,남태령,103562,10685,114247
201803,2018,4호선,노원,622226,98608,720834
201803,2018,4호선,당고개,317671,97226,414897
201803,2018,4호선,서울역,375430,43424,418854
201803,2018,4호선,성신여대입구(돈암),735813,99091,834904
201803,2018,4호선,수유(강북구청),1042293,226426,1268719
201803,2018,4호선,숙대입구(갈월),514574,61586,576160
201803,2018,4호선,명동,1237402,77669,1315071
201803,2018,4호선,미아(서울사이버대학),451387,128159,579546
201803,2018,4호선,미아사거리,776870,191130,968000
201803,2018,4호선,사당,839854,100016,939870
201803,2018,4호선,삼각지,127172,30359,157531
201803,2018,4호선,상계,560976,125028,686004
201803,2018,4호선,신용산,422153,52607,474760
201803,2018,4호선,쌍문,892536,177238,1069774
201803,2018,4호선,이촌(국립중앙박물관),242359,50645,293004
201803,2018,4호선,창동,730930,202527,933457
201803,2018,4호선,총신대입구(이수),535025,156102,691127
201803,2018,4호선,충무로,941994,136726,1078720
201803,2018,4호선,한성대입구(삼선교),479321,83153,562474
201803,2018,4호선,혜화,1195672,140467,1336139
201803,2018,4호선,동대문역사문화공원,677292,69214,746506
201803,2018,5호선,강동,539299,105691,644990
201803,2018,5호선,화곡,802451,150103,952554
201803,2018,5호선,개화산,149143,37313,186456
201803,2018,5호선,거여,167272,54304,221576
201803,2018,5호선,고덕,246658,66519,313177
201803,2018,5호선,공덕,379325,49539,428864
201803,2018,5호선,동대문역사문화공원,77450,9310,86760
201803,2018,5호선,둔촌동,248670,70205,318875
201803,2018,5호선,마곡,215416,28465,243881
201803,2018,5호선,마장,155931,45520,201451
201803,2018,5호선,마천,116581,50346,166927
201803,2018,5호선,마포,372052,69629,441681
201803,2018,5호선,광나루(장신대),404152,73222,477374
201803,2018,5호선,광화문(세종문화회관),1034708,98743,1133451
201803,2018,5호선,군자(능동),315668,42236,357904
201803,2018,5호선,굽은다리(강동구민회관앞),248382,68541,316923
201803,2018,5호선,길동,179752,64176,243928
201803,2018,5호선,김포공항,217179,31082,248261
201803,2018,5호선,까치산,806137,162371,968508
201803,2018,5호선,답십리,437831,89626,527457
201803,2018,5호선,송정,235837,63754,299591
201803,2018,5호선,신금호,161791,38914,200705
201803,2018,5호선,신길,91449,13265,104714
201803,2018,5호선,명일,204196,66190,270386
201803,2018,5호선,목동,499680,90247,589927
201803,2018,5호선,발산,470989,73560,544549
201803,2018,5호선,방이,189663,46862,236525
201803,2018,5호선,방화,186467,50364,236831
201803,2018,5호선,상일동,323664,69282,392946
